Наименование,Оценка,Количество оценок,Адрес,Координаты объекта,Количество отзывов,Автор,Статус автора,Оценка автора,Дата,Текст,Like,Dislike,source,Оценка_автора_число,clean_text,review_length,category,sentiment,issue_type,delivery_speed
Мир Мебели,"4,8",,"ул. Октябрьской Революции, 1 к7а","104.2950461,52.2927871",17.0,Владимир Юсупов,1 отзыв,5 звезд,2 года назад,"кровать купил и матрас подобрали из наличия здесь,в Иркутске.через 2 дня уже привезли .отличная работа.",,,Google,5.0,кровать купил и матрас подобрали из наличия здесьв иркутскечерез дня уже привезли отличная работа,103,Матрасы,positive,Сервис/Доставка,unknown
Мир Мебели,"4,8",,"ул. Октябрьской Революции, 1 к7а","104.2950461,52.2927871",17.0,Софья Браун,3 отзыва,5 звезд,2 года назад,Самые лучшие впечатления о мире мебели от посещения акцента. Такой красивый салон!!!,,,Google,5.0,самые лучшие впечатления о мире мебели от посещения акцента такой красивый салон,84,Другое,neutral,Другое,unknown
Мир Мебели,"4,8",,"ул. Октябрьской Революции, 1 к7а","104.2950461,52.2927871",17.0,Витя Павлов,5 отзывов,1 звезда,2 года назад,Стрёмная контора! Особенно по сборке и исполнению обязательств! Оценка...минус 100500,,,Google,1.0,стрёмная контора особенно по сборке и исполнению обязательств оценкаминус,85,Другое,neutral,Другое,unknown
Мир Мебели,"4,8",,"ул. Октябрьской Революции, 1 к7а","104.2950461,52.2927871",17.0,Вячеслав Иванов,1 отзыв,5 звезд,3 года назад,Есть рассрочка! Удобно!,,,Google,5.0,есть рассрочка удобно,23,Другое,neutral,Другое,unknown
Мир Мебели,"4,8",,"ул. Октябрьской Революции, 1 к7а","104.2950461,52.2927871",17.0,alelog version 0.1,Местный эксперт · 49 отзывов · 3 фото,5 звезд,2 года назад,Норм,,,Google,5.0,норм,4,Другое,neutral,Другое,unknown
Магазины мебели в Иркутске Мебельный Двор,"3,0",,"улица Рабочего Штаба, 29 ТЦ АМТ домашний","104.2964484,52.3070533",5.0,Ксения Л,1 отзыв,1 звезда,4 года назад,"Пришли в мебельный двор ИП Кирсанова, хотели заказать кухонный гарнитур и шкаф(что бы всё вошло в одну доставку и была скидка),на что нам продавец Евгений сказал,что нужного нам цвета нет,будет  возможно завтра. …",,,Google,1.0,пришли в мебельный двор ип кирсанова хотели заказать кухонный гарнитур и шкафчто бы всё вошло в одну доставку и была скидкана что нам продавец евгений сказалчто нужного нам цвета нетбудет возможно завтра,213,Корпусная мебель,neutral,Сервис/Доставка,unknown
Магазины мебели в Иркутске Мебельный Двор,"3,0",,"улица Рабочего Штаба, 29 ТЦ АМТ домашний","104.2964484,52.3070533",5.0,Максим Зеленский,1 отзыв,1 звезда,3 года назад,"Магазин в т.ц. Октябрьский на ул. Энгельса 34. Покупали в данном магазине стол и шкаф в детскую комнату. Шкаф брали ""с витрины"", но обещанную скидку 5% сделать забыли. При доставке товара ни один из рабочих не предупредил о том что, нужно …",1.0,,Google,1.0,магазин в тц октябрьский на ул энгельса покупали в данном магазине стол и шкаф в детскую комнату шкаф брали с витрины но обещанную скидку сделать забыли при доставке товара ни один из рабочих не предупредил о том что нужно,240,Корпусная мебель,neutral,Сервис/Доставка,unknown
Магазины мебели в Иркутске Мебельный Двор,"3,0",,"улица Рабочего Штаба, 29 ТЦ АМТ домашний","104.2964484,52.3070533",5.0,Анна Турушева,2 отзыва,5 звезд,6 лет назад,"Обслуживание, цены.",1.0,,Google,5.0,обслуживание цены,19,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Sergey Chernovol,3 отзыва,5 звезд,6 лет назад,"Удобный магазин с богатым выбором диванов местного производства. Имеется несколько салонов кухонной мебели. Особенно хочется выделить мебельный салон ""Центральный"", расположены на 1 этаже в середине зала. В этом салоне неплохой выбор столов …",,,Google,5.0,удобный магазин с богатым выбором диванов местного производства имеется несколько салонов кухонной мебели особенно хочется выделить мебельный салон центральный расположены на этаже в середине зала в этом салоне неплохой выбор столов,242,Мягкая мебель,negative,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Физрук Пекус,Местный эксперт · 77 отзывов · 134 фото,4 звезды,5 лет назад,"Приятное место, чисто, уютно, доступные цены. Широкий ассортимент. Есть место для отгрузки товара очень удобно для самовывоза.",1.0,,Google,4.0,приятное место чисто уютно доступные цены широкий ассортимент есть место для отгрузки товара очень удобно для самовывоза,126,Другое,neutral,Другое,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Анна Михеева,3 отзыва,5 звезд,4 года назад,"Не первый раз покупаем мебель в этом магазине, хорошее качество по приемлемой цене,доставка в день покупки,без задержек",,,Google,5.0,не первый раз покупаем мебель в этом магазине хорошее качество по приемлемой ценедоставка в день покупкибез задержек,119,Другое,positive,Сервис/Доставка,unknown
Март,"3,9",,"ул. Рабочего Штаба, 66а","104.3018408,52.314471",111.0,Владимир Левин,Местный эксперт · 21 отзыв · 95 фото,2 звезды,5 лет назад,Был в пошив штор на 3м этаже подгонка около 1ооот.р комплект на 2.6 h 2.56 8 т.р на шанхайке все за 3 т.р с подгонкой с тюльей,,,Google,2.0,был в пошив штор на м этаже подгонка около ооотр комплект на тр на шанхайке все за тр с подгонкой с тюльей,126,Другое,neutral,Другое,unknown
